participant_id	species	strain	sex	group
sub-R001	rattus norvegicus	Wistar	F	control
sub-R002	rattus norvegicus	Wistar	F	control
sub-R003	rattus norvegicus	Wistar	F	control
sub-R004	rattus norvegicus	Wistar	F	control
sub-R005	rattus norvegicus	Wistar	F	control
sub-R006	rattus norvegicus	Wistar	F	control
sub-R007	rattus norvegicus	Wistar	F	control
sub-R008	rattus norvegicus	Wistar	F	control
sub-R009	rattus norvegicus	Wistar	F	control
sub-R010	rattus norvegicus	Wistar	F	control
sub-R011	rattus norvegicus	Wistar	F	OF
sub-R012	rattus norvegicus	Wistar	F	OF
sub-R013	rattus norvegicus	Wistar	F	OF
sub-R014	rattus norvegicus	Wistar	F	OF
sub-R015	rattus norvegicus	Wistar	F	OF
sub-R016	rattus norvegicus	Wistar	F	OF
sub-R017	rattus norvegicus	Wistar	F	OF
sub-R018	rattus norvegicus	Wistar	F	OF
sub-R019	rattus norvegicus	Wistar	F	OF
sub-R020	rattus norvegicus	Wistar	F	OF
sub-R021	rattus norvegicus	Wistar	F	OF
sub-R022	rattus norvegicus	Wistar	F	OF
sub-R023	rattus norvegicus	Wistar	F	OF
sub-R024	rattus norvegicus	Wistar	F	OF
sub-R025	rattus norvegicus	Wistar	F	OF
sub-R026	rattus norvegicus	Wistar	F	PM
sub-R027	rattus norvegicus	Wistar	F	PM
sub-R028	rattus norvegicus	Wistar	F	PM
sub-R029	rattus norvegicus	Wistar	F	PM
sub-R030	rattus norvegicus	Wistar	F	PM
sub-R031	rattus norvegicus	Wistar	F	PM
sub-R032	rattus norvegicus	Wistar	F	PM
sub-R033	rattus norvegicus	Wistar	F	PM
sub-R034	rattus norvegicus	Wistar	F	PM
sub-R035	rattus norvegicus	Wistar	F	PM
sub-R036	rattus norvegicus	Wistar	F	PM
sub-R037	rattus norvegicus	Wistar	F	PM
sub-R038	rattus norvegicus	Wistar	F	PM
sub-R039	rattus norvegicus	Wistar	F	PM
sub-R040	rattus norvegicus	Wistar	F	PM
sub-R041	rattus norvegicus	Wistar	F	PM
sub-R042	rattus norvegicus	Wistar	F	PM
sub-R043	rattus norvegicus	Wistar	F	PM
sub-R044	rattus norvegicus	Wistar	F	PM
sub-R045	rattus norvegicus	Wistar	F	RW
sub-R046	rattus norvegicus	Wistar	F	RW
sub-R047	rattus norvegicus	Wistar	F	RW
sub-R048	rattus norvegicus	Wistar	F	RW
sub-R049	rattus norvegicus	Wistar	F	RW
sub-R050	rattus norvegicus	Wistar	F	RW
sub-R051	rattus norvegicus	Wistar	F	RW
sub-R052	rattus norvegicus	Wistar	F	RW
sub-R053	rattus norvegicus	Wistar	F	RW
sub-R054	rattus norvegicus	Wistar	F	RW
sub-R055	rattus norvegicus	Wistar	F	RW
sub-R056	rattus norvegicus	Wistar	F	RW
sub-R057	rattus norvegicus	Wistar	F	RW
sub-R058	rattus norvegicus	Wistar	F	RW
sub-R059	rattus norvegicus	Wistar	F	RW
sub-R060	rattus norvegicus	Wistar	F	RW
sub-R061	rattus norvegicus	Wistar	F	RW
sub-R062	rattus norvegicus	Wistar	F	RW
sub-R063	rattus norvegicus	Wistar	F	RWPM
sub-R064	rattus norvegicus	Wistar	F	RWPM
sub-R065	rattus norvegicus	Wistar	F	RWPM
sub-R066	rattus norvegicus	Wistar	F	RWPM
sub-R067	rattus norvegicus	Wistar	F	RWPM
sub-R068	rattus norvegicus	Wistar	F	RWPM
sub-R069	rattus norvegicus	Wistar	F	RWPM
sub-R070	rattus norvegicus	Wistar	F	RWPM
sub-R071	rattus norvegicus	Wistar	F	RWPM
sub-R072	rattus norvegicus	Wistar	F	RWPM
sub-R073	rattus norvegicus	Wistar	F	RWPM
sub-R074	rattus norvegicus	Wistar	F	RWPM
sub-R075	rattus norvegicus	Wistar	F	RWPM
sub-R076	rattus norvegicus	Wistar	F	RWPM
sub-R077	rattus norvegicus	Wistar	F	RWPM
sub-R078	rattus norvegicus	Wistar	F	RWPM
sub-R079	rattus norvegicus	Wistar	F	RWPM
sub-R080	rattus norvegicus	Wistar	F	RWPM
sub-R081	rattus norvegicus	Wistar	F	RWPM
sub-R082	rattus norvegicus	Wistar	F	RWPM
